contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
otros ingresos;presencial;2021;6;1,50188E+11;153;2021-6-1
otros ingresos;virtual;2021;6;352388515;4;2021-6-1
publicidad exterior visual;presencial;2021;6;115466478;360;2021-6-1
publicidad exterior visual;virtual;2021;6;2239185;1;2021-6-1
recursos fonset;presencial;2021;6;398613584;4;2021-6-1
recursos fonset;virtual;2021;6;8036442270;113;2021-6-1
rendimientos financieros y recursos no ejecutados;presencial;2021;6;2395381774;98;2021-6-1
rendimientos financieros y recursos no ejecutados;virtual;2021;6;3863955913;219;2021-6-1
rentas contractuales;presencial;2021;6;105613362;266;2021-6-1
rentas contractuales;virtual;2021;6;4573078551;66;2021-6-1
retencion ica;virtual;2021;6;31202160;26;2021-6-1
servicios;presencial;2021;6;8091370;794;2021-6-1
servicios;virtual;2021;6;302200;4;2021-6-1
sobretasa a la gasolina;presencial;2021;6;7697408000;8;2021-6-1
transferencias;presencial;2021;6;23923986;2;2021-6-1
transferencias;virtual;2021;6;3043465227;41;2021-6-1
alumbrado publico;presencial;2021;7;7863332135;311;2021-7-1
alumbrado publico;virtual;2021;7;86800;1;2021-7-1
circulacion y transito;presencial;2021;7;3856652114;5211;2021-7-1
circulacion y transito;virtual;2021;7;71232245;764;2021-7-1
